"","compound","Cmax","dose","original.reference","method.KaFa","method.phys.chem.Fup","method.Fup","method.phys.chem","method.partition","method.Clint","logP","frac.unionized","frac.ionized.acid","frac.ionized.base","Fup","Fuinc","Ka","Fa","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","Clint","original.reference.Clint","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"22","Curcumin",0.006,28.571,"Shoba1998","in vitro","ChemAxon","in silico","ChemAxon","Schmitt","in silico",3.76,0.960584205455708,0.0394157945442922,0,0.0583106217034191,1,3.40781671119545,0.99880817671773,13.3677796204642,1.32248446942495,1.97638284286887,1.08997939860196,1.67222977389694,0.989644656011514,0.905719311903059,0.269740041137757,0.487044908812068,1.72697054159689,0.528563687371505,57.10945886,"this work",0.3,120.601384811857,93.2668129079276,76.4143551701714,98.4071810106901,15.7566017711915,8.8431656360689,72.424622413106,4.19435924989396,250.968244333481,77.428629041461,2.79553225978751,8.94418519147461,105.172682707392,52.5255138266877,88.6012011445056,718.632419200019,200.108613981332,2.50088453311467,-1.36589041659667e-13,0.999999999997272,1997.58638919016,29.230873459531,8.20417583754129,15.5599509692023,54.5816822644081,82.21151295797,47.8924065993663,28.7115767404834,49.2684506211605,7.88413392837211,8.96315158333861,29.8146434506973,15.3600673614698,12.7774074163923,29.230873459531,29.1970616046068
"23","Desipramine",0.0115,0.714,"DeVane1981","in silico","ADMET","in silico","ADMET","RodgersRowland","hep",4.390222043,0.997041719232496,0,0.00295828076750437,0.0312881598455174,0.88,2.78340547028497,0.997236786253229,0.598199420626155,0.573364956798931,0.420409994287081,0.636323408281114,0.793522690664106,0.523234892312295,0.420140364227126,0.567994424621579,0.269685506699146,0.901989816801629,0.352282684196326,4.797507788,"Wood 2017",1,10.2532795235343,4.76581930015635,0.833096957094038,1.19690413513505,0.369521640318311,0.22746596308435,0.921621343931324,0.427707412567074,10.6268588793906,3.29346478601908,0.0907530909505979,0.267072859862979,5.09273184696987,2.54640960747744,2.66449294665056,3.08161202188886,2.93704461483584,0.246037647067747,4.00591732002457e-12,1.000000000002,49.8418945769344,1.41543408754026,0.697502008403697,0.795094335556604,0.59506925506717,0.999919912393528,1.12316607999486,0.738525854169967,0.626953295191377,0.803961301817809,0.37953067426395,1.26818051059649,0.498643356871417,0.381532656947113,1.41543408754026,1.4154583699152
"24","Desipramine",0.0218,0.714,"Harris2007","in silico",NA,"in vitro","ADMET","Schmitt","hep",4.390222043,0.997041719232496,0,0.00295828076750437,0.18,0.88,2.78340547028497,0.997236786253229,14.2289642639841,1.90343234205442,35.3975500751096,6.66830398133167,5.77990930323504,7.61571151115084,5.27073956269942,3.02043046272956,4.03803096523648,25.5832208771148,4.17766150680305,4.797507788,"Wood 2017",0.5,1.6240116803408,1.25189257296549,3.3855363770269,8.8592400783472,0.457487246677553,0.618893839743147,6.27772530857501,0.431901025367642,5.08359149196837,1.56985351485823,0.185840308279178,0.278826647657396,0.966506985959287,0.483813222893483,2.71142432813031,12.3932691827061,3.15719180430641,0.104888961133837,2.85118670464383e-14,1.00000000000001,49.8418945769364,0.268623397987573,0.110476985057197,0.208856574452496,2.41824026930493,7.40120307297176,1.39053874370077,2.00939558358165,4.27056143440477,0.811844032645943,0.18155683899887,0.604487298751725,1.02110059494054,0.398323782367709,0.268623397987573,0.268934531902992
"25","Dextromethorphan",0.00142,0.429,"Donato2012","in silico","ADMET","in silico","ADMET","Berezhkovskiy","hep",3.806411219,0.029976589159516,0,0.970023410840484,0.172352458350027,0.683,2.87322261728328,0.997567217203744,1.85346024629828,16.511380683223,13.8109330142985,11.9558639165147,20.9016683547613,9.1369384349454,9.9538603685716,1.35433886511621,3.44502558256273,8.78826544845506,4.50823565886952,52.64,"Brown 2007",0.5,0.289525663190677,0.315165642366127,0.537274158622902,8.36925783926237,0.183005797373675,0.151520756859119,2.41676168887702,0.0400905371477136,0.988886828781994,0.283182336007422,0.0396906446015148,0.0531767586300359,0.200255139915157,0.100019609811374,0.517620692275262,7.12172469708604,8.33007799497691,0.0197067468431641,-1.89750395593247e-13,0.999999999999943,29.9569435326285,0.055657348503379,0.0196956233463046,0.0525799240854863,0.383767256159216,6.99186118568285,0.556248624236095,0.491950509282854,1.64405557066464,0.0753581525332963,0.0353173867422141,0.109042100888495,0.218080464843488,0.0759667980429084,0.055657348503379,0.0555973373048216
"26","Dextromethorphan",0.0025,0.429,"Nyunt2008","in silico",NA,"in vitro","ADMET","Schmitt","in silico",3.806411219,0.029976589159516,0,0.970023410840484,0.45,1,2.87322261728328,0.997567217203744,24.7314009389817,3.31070128292249,58.3870099612719,11.14005544716,9.771918550408,12.6920882294955,8.84597377566809,5.12868409262219,6.80674492236575,42.3238303916561,7.03557128386506,49.46674279,"this work",0.5,0.403983177353069,0.348052449545761,0.891039696338731,7.98802611546171,0.165047641078005,0.256679634055667,3.03808433759279,0.191653015368848,1.308816790644,0.395814291230491,0.0679282690693481,0.07609896468865,0.252744771891832,0.126343932717481,0.737808864675184,7.12172390473206,6.52161636952924,0.0654813066555132,1.77890995868669e-13,1.00000000000005,29.9569435326284,0.0702459065847228,0.0274818487995285,0.0580665177761475,0.636456925956236,6.67337185919942,0.501664562547126,0.833375435245672,2.06672403917877,0.360250028888812,0.0467434568087142,0.15241212600327,0.373232247633781,0.108712806698071,0.0702459065847228,0.07023009044885
"27","Diazepam",0.165,0.071,"Nakano1984","in silico","ChemAxon","in silico","ChemAxon","Schmitt","S9",3.08,0.999966887984294,0,3.31120157063269e-05,0.111090642379721,0.301,2.28488357868687,0.994136300703724,16.1328201782386,1.60838249916831,2.39746944027247,1.36156299542941,2.04786665980161,1.22406899698973,1.1241858996702,0.354017843364477,0.612061684615793,2.08955345073971,0.664793200420947,0,"this work",0.6,0.61170044875172,0.398023655910449,0.229736306723609,0.200146271960679,0.0464733372549818,0.0258501651132565,0.177255558970297,0.0130494432880055,0.964526879796398,0.297200694222869,0.00837300063568211,0.0288645506935692,0.249300194001105,0.124627943514153,0.287306016234232,1.25433901965416,0,0.0240839277723689,-5.7523840592948e-13,0.999999999999972,4.94085741449754,0.0692885475267108,0.0416122754252871,0.066403347315654,0.164097361945435,0.167206576408253,0.141256344240066,0.0839291075105729,0.120582012904964,0.0245290287368525,0.0344473885641571,0.114440005476653,0.0460054979982533,0.0412350724193846,0.0692885475267108,0.0692762331929702
"28","Diazepam",0.331,0.143,"Dhillon1982","in vitro","ChemAxon","in silico","ChemAxon","RodgersRowland","in silico",3.08,0.999966887984294,0,3.31120157063269e-05,0.111090642379721,1,2.77202264252368,0.997191356311696,10.9753152993387,9.99691903098726,8.31688589903661,7.08606685848447,12.2898300619879,5.55840217491638,5.48477641850368,0.712357532993455,2.18865731169841,6.89804039603841,2.37059415345006,26.91857445,"this work",0.6,0.454883450463436,0.435864405813274,0.545431784766339,1.66625568694585,0.186245789882732,0.102949469645633,1.20660065875611,0.0229958830393217,1.27363041700236,0.374115627005872,0.0259033627770533,0.0598283151588022,0.218299826535326,0.109213061452381,0.586156809046293,1.89185620205166,0.803589056132532,0.0180656702050609,3.55916092916557e-13,1.00000000000004,9.98188547668004,0.0606725476751878,0.0309444524124787,0.0727164204739172,0.389594131975956,1.39202647196813,0.56609662578338,0.334251524823484,0.820816774664021,0.0432253440588753,0.0454868006072271,0.144056845208268,0.142326169104689,0.0854690216554317,0.0606725476751878,0.0607076495010455
"29","Diclofenac",0.4735,1.071,"Zhai2013","in silico",NA,"in vitro","ChemAxon","Berezhkovskiy","hep",4.26,0.000397948744304876,0.999602051255695,0,0.005,0.937,1.8914589330876,0.988692116385044,0.0908856483812831,5.5348220592429,4.77644303059602,4.16383871128776,7.08248487206592,3.24593414453836,3.50387683890804,0.722130226688215,1.39041442346497,3.10260743977739,1.75009087408507,61.4953271,"Wood 2017",0.9,0.880686054832601,6.99282620343146,4.31547400878883,5.94529012459471,1.49912060340354,0.661377336345205,5.26554605505585,0.254344777549064,17.0335442763823,4.15265122726837,0.210434510374604,0.592872887597322,2.38210607992562,1.19097344387737,5.87783911744838,13.5096416409716,3.34275249028872,0.0147671272521038,-1.15033111692766e-12,0.999999999999147,74.1222479653876,0.662063946616347,0.0599106159750069,1.16663183257866,3.08248143484916,4.96682550091455,4.55659757873416,2.14732901410781,3.58200411908562,0.4780916871223,0.608340867013652,1.59901857037673,1.15623357348683,0.846961267996174,0.662063946616347,0.662019701988532
"30","Diclofenac",1.1942,0.714,"Desjardins2015","in vitro",NA,"in vitro","ADMET","Berezhkovskiy","hep",4.434471232,0.000295033852002358,0.999704966147996,1.90546068923325e-08,0.005,0.934,3.21061338712359,0.998462260290057,15.7658800023204,7.23594474884113,6.17530716646404,5.37022825307903,9.22353827451819,4.15750918795225,4.50216485832519,0.818110158652969,1.70708081253742,3.98257093162848,2.17571920381453,61.4953271,"Wood 2017",0.5,2.52729626429874,2.37392987773846,2.82458971367536,7.74869624548737,0.972246338490144,0.528015012791442,6.6278200295728,0.17992479947161,6.92499827878502,1.88542066570599,0.159809723520374,0.321456161796225,1.48742489711683,0.743592178928995,3.15104735508363,10.0219465688002,1.42044436256621,0.00448529546753423,1.99338108769846e-13,1.0000000000001,49.9031437692969,0.413403251005232,0.171924915938689,0.396049048426261,2.01756408119669,6.47343044735787,2.95515604404299,1.71433445711507,4.50872110855292,0.338204510284982,0.247321367099465,0.725999486217169,0.878075403958096,0.459223088280321,0.413403251005232,0.413336397403555
"31","Diltiazem",0.102,1.286,"Sirisuth2002","in vitro",NA,"in vitro","ChemAxon","Berezhkovskiy","hep",2.73,0.142336611198225,3.4673564819343e-06,0.857663318553857,0.198,0.817,2.83858426902766,0.997445444998945,8.19935930649404,6.19444399715305,5.35488246100826,4.66539992909721,7.9299283044855,3.63876025106445,3.92797547362985,0.815535834751381,1.56248504855016,3.4771993284579,1.96638436236309,4.906542056,"Wood 2017",0.5,4.21616730344479,3.95651948526305,4.25729773036152,11.6621905285169,1.4620083376932,0.737174268899597,8.90914298185379,0.290506528099196,11.4076101581834,3.03326268999865,0.236802683705929,0.513095615606825,2.40894392877964,1.20489215449636,5.03679442981933,21.7188799797744,8.4384332031263,0.300316951182052,1.42440847470282e-13,1.00000000000013,89.7900389588049,0.669523048576888,0.286814102275156,0.660076690517573,3.04092695025823,9.74284923017285,4.44379433949302,2.39342295097272,6.06064148425428,0.546064902442098,0.407414648506551,1.1679871736614,1.30111364673587,0.732993736581179,0.669523048576888,0.669756617285359
"32","Diltiazem",0.169,1.714,"Turner2002","in silico",NA,"in vitro","ADMET","RodgersRowland","hep",3.649400586,0.10513721035592,0,0.89486278964408,0.198,0.598,1.69343455112535,0.983866067853134,21.5748784463998,8.61157092774828,44.3184367310707,11.7706468132482,14.6099447324457,11.4107803289616,8.93920484316733,3.35924580867298,5.37725662944278,31.115302562412,5.5135672645391,4.906542056,"Wood 2017",0.8,3.48864556704353,3.2029906137625,6.97179730037018,22.8025943942857,1.34506044048138,1.23974481946557,14.2593360255689,0.644245474354315,10.7116041003637,3.32197399242989,0.338818923143999,0.571575501000176,1.29680044824136,0.648630622387934,5.56587936226656,30.4568805477399,10.9318699586061,0.245802729507057,2.40771653280239e-13,1.00000000000028,118.044250821019,0.360422581501212,0.237322827690036,0.534363460603718,4.97985521455013,19.0497864613915,4.08832960632639,4.02514551774537,9.70022858882241,1.21098773374871,0.382557289298703,1.27915825661528,1.86164243485714,0.816536430000251,0.360422581501212,0.360550651688679
"33","Disopyramide",2.5,1.429,"Sagawa1997","in silico","ADMET","in silico","ADMET","Berezhkovskiy","hep",4.390222043,0.997041719232496,0,0.00295828076750437,0.0312881598455174,0.88,2.78340547028497,0.997236786253229,65.3632127685513,15.2843496063155,12.795381780027,11.0795535505735,19.3541824117163,8.47226617648588,9.22706840870168,1.27490407920289,3.20766261726676,8.1474801612074,4.19191958673033,0.46,"Pirovano 2016",0.8,5.22727968681743,4.95732384249835,6.73518265961997,19.8555200851798,2.32178759535978,1.36973643243923,18.3055226699603,0.357116763705224,14.6707147240865,4.11897219446301,0.389580732151392,0.708137909408144,1.89421807621747,0.947488838665982,6.92906884300926,10.7615449674224,0.147183115250801,0.0572165926553206,1.70951488351213e-13,1.00000000000017,99.7535957289103,0.526464167931481,0.355597257606628,0.827043548747395,4.8108447568714,16.5877360778445,7.05710515306925,4.44719620921829,12.4527365101771,0.671272112227865,0.523954097288803,1.58605013263882,2.1405534733593,1.01162558486878,0.526464167931481,0.526675285528617
"34","Disopyramide",3.445,2.857,"Roberto1988","in silico",NA,"in vitro","ADMET","RodgersRowland","in silico",4.390222043,0.997041719232496,0,0.00295828076750437,0.18,1,2.78340547028497,0.997236786253229,2.85952945748609,2.11100969024993,1.84858678584263,1.78443224780653,2.70067122787054,1.46634932073211,1.39576868312645,0.750063260866505,0.791465456077367,1.89962643205029,0.874755249226432,66.10776255,"this work",0.3,5.90821729409763,5.26524161372398,3.78263005918854,13.2584920406975,1.29429201862088,0.681524142799594,6.62937283647883,0.613206339651114,15.461098757859,4.14831451640673,0.242481047547292,0.653957081096741,5.5297826754394,2.76276774655367,6.43665958176647,86.5289248698354,39.8453222893411,0.395099971680726,-6.55543410061755e-13,0.999999999998693,199.437384882785,1.53690457905486,0.401919543816165,0.878414291173715,2.7018786137061,11.0764344533813,3.9340182936805,2.21274072337531,4.50977743978152,1.1526434955848,0.552182098494963,1.59734867786166,1.33231344806204,0.934224401566773,1.53690457905486,1.53572415039114
"35","Fluvastatin",0.3087,0.571,"Smit1995","in vitro","ChemAxon","in silico","ChemAxon","RodgersRowland","in silico",3.83,0.00137848135131316,0.998621518648687,0,0.0151493815053009,1,0.665150387779346,0.853299938366882,0.0354463172284421,0.0532499968546651,0.0336793819506754,0.0763667932681184,0.0819355391223311,0.0637077522202294,0.0452635940572924,0.0913984921859606,0.0328624832396196,0.123140914612008,0.0470026863109832,12.63026598,"this work",3.4,1.5823079886594,0.969291020947217,0.143191084640138,0.281388779330987,0.0818638110483356,0.0595074815532447,0.202313982604621,0.147664043261568,2.79432122567616,0.971158207799248,0.0259787272078442,0.0698588210344834,10.9266049289155,5.46330018072473,0.696988338738136,3.55364596921523,5.35952054138954,0.777493403775893,5.89577331082816e-12,1.00000000000201,34.1063985365223,3.03685517757518,0.107639999228531,0.16170940434853,0.102279346171527,0.235078345305754,0.248826173399196,0.193206108939106,0.13762855959498,0.277563991093172,0.0997971866312913,0.373953872853003,0.142740259383759,0.0997983157635477,3.03685517757518,3.03685390812937
"36","Fluvastatin",0.3087,0.571,"Smit1995","in vitro",NA,"in vitro","ADMET","RodgersRowland","in silico",3.766797245,0.00181639556204615,0.998183604437954,0,0.0079,1,0.665150387779346,0.853299938366882,0.0286831397945139,0.0475377035314982,0.0273180730806799,0.0703896382342252,0.0735027264025947,0.0583496231250905,0.0403639822798848,0.0880016142358957,0.0294630511516533,0.117382939829293,0.04312200403203,12.63026598,"this work",4.1,1.49009070535938,1.00701433870121,0.135167236794363,0.299971061074597,0.085465738500907,0.0634705487089352,0.209872747424504,0.165462703448168,2.91552671229667,1.07734336070002,0.027737247386955,0.0728895610200023,12.7162510898862,6.3580682878867,0.727226166029361,2.2308191720861,3.94693371900078,0.577088140224285,-1.41665224429793e-11,0.999999999995168,34.1063985365291,3.53425544465986,0.101366714650298,0.168002885988427,0.0965480262816881,0.250602390204342,0.259774281157772,0.206073210093945,0.142770576479254,0.311020119263474,0.104125954010595,0.414841494301125,0.152402458170083,0.104127944314289,3.53425544465986,3.53422361750233
"37","Genistein",0.001165,0.057,"Yuan2012","in vitro",NA,"in vitro","ChemAxon","RodgersRowland","S9",3.08,0.104988005169579,0.895011994830421,0,0.024258,0.901,3.35973466789129,0.998732854379593,0.269765880175147,0.264825009471738,0.213776623411381,0.220893837500976,0.340566003789021,0.177119330939616,0.160156143114008,0.0923362287952817,0.0773265060042399,0.253951362418137,0.093190658267806,26,"this work",0.6,0.606880108034363,0.273250476282712,0.0522571865427797,0.0545529899286067,0.0195639402266476,0.0095035298504814,0.0424536273392441,0.00857522395683182,0.377596002044248,0.115003172815655,0.00296129582338821,0.00945076976164342,0.628088801478513,0.314083413987303,0.0942905159144695,0.53082810044853,0.832244127539635,0.0133608069994842,1.0141200778241e-12,1.00000000000004,3.98494408897454,0.174566092684412,0.041284361090773,0.0455871052168094,0.0373265618162712,0.0455747618451183,0.0594648639107831,0.0308556163976669,0.0288800185981252,0.01611884202412,0.0134855715015803,0.0442830854122661,0.0162708561724627,0.0135010996594906,0.174566092684412,0.174587778758923
"38","Genistein",0.00602,0.429,"Metzner2005","in silico","ADMET","in silico","ADMET","RodgersRowland","in silico",2.44906833,0.652991119478413,0.347008880521587,0,0.121411778081731,1,1.18038340854082,0.955491639098302,1.57335272943106,1.71673039111447,1.4605737623281,1.26612781635549,2.13701056203901,1.00797703987376,0.986218756196242,0.210850733850455,0.433491303525927,1.24508661077806,0.472640131330601,20.73578326,"this work",1.2,4.09689680681175,2.74523456637851,0.672908903024318,0.724135578115411,0.231354352895538,0.101172521917446,0.566534182518147,0.0369656295958364,3.91331720709065,1.04722967881628,0.0283389201043023,0.0996773424844302,1.18569790033383,0.592808945138732,0.99429650758737,6.96019551644744,4.4430839748265,0.253565388035544,-6.19081732212671e-14,0.999999999999982,28.693413922122,0.329543607652539,0.278700463048418,0.457994799221644,0.480649216445941,0.604958711875866,0.703204720047228,0.32848221401768,0.385397403073569,0.0694842661575871,0.139761328824666,0.403245929463334,0.155708352221441,0.142396203549186,0.329543607652539,0.329521370282786
"39","Ibuprofen",44.7,5.714,"Jones1997","in silico","ADMET","in silico","ADMET","Schmitt","in silico",3.645550128,0.00137848143052714,0.998621518569473,0,0.017644934238317,1,2.1679871135028,0.992917988509171,0.235581407192557,0.0437763270467874,0.273756543996846,0.0833767060530028,0.068300760183685,0.105890029414656,0.0834989581719725,0.0574545551060629,0.0722228840123589,0.268867862126135,0.0797159490154278,14.20272954,"this work",1.5,90.9033697669264,6.9564896668074,10.161200219789,2.70456461685726,0.595790714669878,0.863350094893369,3.26899168362331,0.810441780535666,53.6001060631476,18.5055467515129,0.384668949284257,1.34032686144484,95.3997039511104,47.6987254619267,13.3725234517422,15.368669740013,31.4737830551112,3.73908421456974,-1.68176923100121e-11,0.999999999933209,397.147337043965,26.5146481242664,6.18390270523309,1.16056971133067,7.25800015699213,2.25945247857749,1.81091402635221,2.80308472367977,2.22380386641041,1.52338680551817,1.91428950225527,7.12573998903076,2.11356565540801,1.91475265920691,26.5146481242664,26.514021935479
"40","Ibuprofen",51.39,8.571,"Portoles2001","in silico","ChemAxon","in silico","ChemAxon","Berezhkovskiy","hep",3.84,0.00281046197321019,0.99718953802679,0,0.0150524965100932,0.928,2.1679871135028,0.992917988509171,0.144987612874146,6.07824031522823,5.22519383965784,4.55098645033319,7.76734103358922,3.53919687890595,3.82471652449123,0.75573597909211,1.49415568397936,3.38545868510238,1.8887430552222,9.517133956,"Wood 2017",0.8,11.2789546498486,51.2865981802294,37.6338855249931,56.3649383807433,13.0720089478256,5.87024501434045,50.9954484495008,2.16878872392108,131.648531330073,33.2444999440602,1.84853782240552,4.93803354128149,19.4087983308045,9.70400184796566,48.8317440950894,105.149461867791,11.9628510293886,0.313677885591346,-1.08778265154121e-12,0.99999999999352,595.721005565854,5.3943297195121,0.767275826520313,8.55627986183409,26.8813468035665,47.0885032420579,39.7325499933909,19.0592370595469,34.6907812581638,4.07667053368625,4.70173326178834,12.8011166515442,10.1568012220083,7.05433363040213,5.3943297195121,5.39410886490587
"41","Imipramine",0.0329,1.071,"Perault1994","in silico",NA,"in vitro","ChemAxon","Berezhkovskiy","in silico",4.28,0.999998352488659,0,1.64751134090757e-06,0.1,1,3.07521876760346,0.998158089454127,111.177632714599,17.8896961807867,14.9390297783657,12.9283416863794,22.6338885564826,9.86972220497032,10.7572493969691,1.42381121313194,3.6943263226805,9.49631855523339,4.84553046817833,80.29818303,"this work",0.7,2.30107403059985,2.2099496937494,3.42563130775592,18.4358191551175,1.17364013957406,0.812948649610496,11.9237604008675,0.204972240711291,6.75962959209259,1.92272458226212,0.223211833320989,0.346733366333823,0.973475210985223,0.486963043015643,3.38295056706402,8.69363837905448,11.4743093505045,0.0804804237561656,3.98797706990748e-13,1.0000000000003,74.8319119663756,0.270560091991446,0.156535648340126,0.368691797296543,2.44687950553994,15.4016868463806,3.567295257064,2.63944366756655,8.11140163324319,0.385286166750548,0.241415342574735,0.740363720547601,1.22643864462082,0.49533338047689,0.270560091991446,0.270685404677956
"42","Imipramine",0.139,2.14,"Hrdina1980","in vitro",NA,"in vitro","ChemAxon","RodgersRowland","in silico",4.28,0.999998352488659,0,1.64751134090757e-06,0.1,1,2.05849467740634,0.991508050190813,3.46111168257254,2.49972689732,2.09244608590141,2.00411835225634,3.15921042803557,1.61207178661024,1.52414149584895,0.685372853929704,0.758347540614522,2.15340443157436,0.856619665240695,80.29818303,"this work",0.5,7.72791686825813,6.51669531460699,3.29426021746418,7.73961915909983,1.16633380938843,0.559538071484815,4.38303540143239,0.414610794006612,16.3554018175066,4.5504186325823,0.177151526623837,0.56128908213111,4.09122719928848,2.04580237731633,5.56736551153403,53.0654209538464,30.0214465470154,0.290372634997735,9.56780116659812e-14,1.00000000000014,148.527905918584,1.13708371297623,0.52570863049375,1.08719764742702,2.35304301247441,6.46584725070997,3.54508756653017,1.81668205027537,2.9816567356683,0.779343597756789,0.584121493482378,1.75218276187227,0.973360036394707,0.801841545901586,1.13708371297623,1.13718864775783
"43","Ketanserin",0.143,0.571,"Reimann1983","in silico","ChemAxon","in silico","ChemAxon","Schmitt","hep",2.61,0.562972678190008,3.80174942472555e-05,0.437015271896404,0.267168612964209,0.841,1.41094172378131,0.97230122993306,14.6335416437818,1.55210029192909,10.9436049227443,2.66962028802208,3.00487587415859,2.84023184675931,2.21335611750368,1.31378312892694,1.68466465525263,8.56427824665408,1.69342460773365,46.07476636,"Wood 2017",0.4,0.395221660713244,0.294191522569689,0.620794437708835,2.10743906285487,0.0663939625306856,0.0583882279333721,0.554196912511168,0.0477908178063616,1.10280307409243,0.350525117383413,0.0209456999057064,0.0521838149584884,0.245999804960204,0.123030846719636,0.511123023223502,22.1018846520814,10.1723834676278,0.037584054843526,2.01116594063464e-13,1.00000000000008,38.8628801604243,0.0683712631907183,0.0268858272594043,0.0490807557802829,0.443424598363453,1.76060072084785,0.201805357236126,0.189572168614844,0.37700470238855,0.0898323642976721,0.0393858240747296,0.134973091021722,0.115086263218167,0.0745483070835549,0.0683712631907183,0.0683884639909036
